Vivado Simulator 2018.3
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb.uut.inst_rom_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_2 collision detected at time: 73565000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 75785000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 78005000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 80225000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 82445000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 84665000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 86885000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 89105000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 91325000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 93545000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 95765000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 97985000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 100205000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
